19:20:13.101 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @644ms
19:20:13.179 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
19:20:13.490 [main] INFO  /carsdealer - No Spring WebApplicationInitializer types detected on classpath
19:20:13.569 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/carsdealer,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
19:20:13.619 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
19:20:13.619 [main] INFO  org.eclipse.jetty.server.Server - Started @1175ms
19:38:41.130 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @575ms
19:38:41.208 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
19:38:41.514 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
19:38:41.586 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
19:38:41.649 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
19:38:41.649 [main] INFO  org.eclipse.jetty.server.Server - Started @1100ms
19:47:52.018 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @606ms
19:47:52.102 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
19:47:52.394 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
19:47:52.466 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
19:47:52.513 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
19:47:52.513 [main] INFO  org.eclipse.jetty.server.Server - Started @1116ms
19:49:15.287 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @595ms
19:49:15.359 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
19:49:15.671 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
19:49:15.733 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
19:49:15.797 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
19:49:15.797 [main] INFO  org.eclipse.jetty.server.Server - Started @1117ms
19:49:47.784 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @607ms
19:49:47.863 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
19:49:48.173 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
19:49:48.238 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
19:49:48.301 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
19:49:48.301 [main] INFO  org.eclipse.jetty.server.Server - Started @1130ms
19:51:31.915 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @626ms
19:51:31.993 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
19:51:32.290 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
19:51:32.375 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
19:51:32.426 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
19:51:32.427 [main] INFO  org.eclipse.jetty.server.Server - Started @1142ms
19:53:59.727 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @618ms
